Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Document Type,Publication Stage,Open Access,Source,EID
"Ash J., Mialanes J., Brady L.M., von Gnielinski F.E., Kaurareg Native Title Aboriginal Corporation","35298571200;16646468500;7202742640;35756900700;","A 1,200-year-old ground-stone object from South Western Torres Strait (northeast Australia) and its implications for historicising ethnographically known social networks",2020,"Australian Archaeology","86","2",,"97","111",,,"10.1080/03122417.2020.1789806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088826701&doi=10.1080%2f03122417.2020.1789806&partnerID=40&md5=5fda50c4328b6c7534a9c470eb12bfac","Monash Indigenous Studies Centre, Monash University, Clayton, VIC, Australia; ARC Centre of Excellence for Australian Biodiversity and Heritage, Monash Indigenous Studies Centre, Monash University, Clayton, VIC, Australia; College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, SA, Australia; Department of Natural Resources, Mines and Energy, Geological Survey of Queensland, Brisbane, QLD, Australia; PO Box 92, Thursday Island, QLD  4875, Australia","Ash, J., Monash Indigenous Studies Centre, Monash University, Clayton, VIC, Australia; Mialanes, J., Monash Indigenous Studies Centre, Monash University, Clayton, VIC, Australia, ARC Centre of Excellence for Australian Biodiversity and Heritage, Monash Indigenous Studies Centre, Monash University, Clayton, VIC, Australia; Brady, L.M., College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, SA, Australia; von Gnielinski, F.E., Department of Natural Resources, Mines and Energy, Geological Survey of Queensland, Brisbane, QLD, Australia; Kaurareg Native Title Aboriginal Corporation","axes; exchange; Ground-stone objects; socio-demographics; stone-headed clubs; Torres Strait; trade networks",,"Australian Research Council, ARC: DP0984998","This research was funded by an Australian Research Council Discovery grant (DP0984998). Special thanks are extended to the Kaurareg Native Title Aboriginal Corporation who have supported LMB?s archaeological research on their country since 2002 and their kind invitation to undertake this project. Thanks also to Roney Wasaga, Enid Tom, Milton Savage, Isaac Savage, Kevin Mosby, Daniel Soki, and Morris Soki for their assistance and guidance in undertaking this research project. Special thanks to Ian McNiven and to our three anonymous reviewers for helpful comments.",,,,,,,,,,Article,"Final","",Scopus,2-s2.0-85088826701
"Ash J., Faulkner P., Brady L.M., Rowe C.","35298571200;25925823700;7202742640;16745252900;","Morphometric reconstructions and size variability analysis of the surf clam, Atactodea (=Paphies) striata: From Muralag 8, southwestern Torres Strait, northern Australia",2013,"Australian Archaeology","77",,,"82","93",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890074011&partnerID=40&md5=db984b814d703dc92818b881e2ae6797","Monash Indigenous Centre, Monash University, PO Box 55, Clayton, VIC 3800, Australia; School of Social Science, University of Queensland, St Lucia, QLD 4072, Australia; School of Geography and Environmental Science, Monash University, PO Box 55, Clayton, VIC 3800, Australia","Ash, J., Monash Indigenous Centre, Monash University, PO Box 55, Clayton, VIC 3800, Australia; Faulkner, P., School of Social Science, University of Queensland, St Lucia, QLD 4072, Australia; Brady, L.M., Monash Indigenous Centre, Monash University, PO Box 55, Clayton, VIC 3800, Australia; Rowe, C., School of Geography and Environmental Science, Monash University, PO Box 55, Clayton, VIC 3800, Australia",,,,,,,,,,,,,,Article,"Final","",Scopus,2-s2.0-84890074011
"Astrup P.M., Skriver C., Benjamin J., Stankiewicz F., Ward I., McCarthy J., Ross P., Baggaley P., Ulm S., Bailey G.","57204757167;57204758793;26030308500;57209246232;7202056006;56015771300;57202831033;41361027700;17344329100;55841857200;","Underwater Shell Middens: Excavation and Remote Sensing of a Submerged Mesolithic site at Hjarnø, Denmark",2020,"Journal of Island and Coastal Archaeology","15","4",,"457","476",,13,"10.1080/15564894.2019.1584135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067043659&doi=10.1080%2f15564894.2019.1584135&partnerID=40&md5=b33bf164f27272076876ae6910eac209","Archaeology, Moesgaard Museum, Højbjerg, Denmark; Maritime Archaeology Program, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia; Wessex Archaeology, Salisbury, United Kingdom; ARC Centre of Excellence for Australian Biodiversity and Heritage, James Cook University, Cairris, Australia; Archaeology, University of York, York, United Kingdom","Astrup, P.M., Archaeology, Moesgaard Museum, Højbjerg, Denmark; Skriver, C., Archaeology, Moesgaard Museum, Højbjerg, Denmark; Benjamin, J., Maritime Archaeology Program, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia; Stankiewicz, F., Maritime Archaeology Program, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia; Ward, I., Maritime Archaeology Program, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia; McCarthy, J., Maritime Archaeology Program, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia; Ross, P., Maritime Archaeology Program, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia; Baggaley, P., Maritime Archaeology Program, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia, Wessex Archaeology, Salisbury, United Kingdom; Ulm, S., ARC Centre of Excellence for Australian Biodiversity and Heritage, James Cook University, Cairris, Australia; Bailey, G., Maritime Archaeology Program, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia, Archaeology, University of York, York, United Kingdom","Ertebølle; Mesolithic; sidescan; sub-bottom profiling; submerged landscapes; underwater archaeology","archaeological evidence; excavation; Mesolithic; midden; remote sensing; sea level pressure; shell; site investigation; submergence; Denmark","DP170100812; Australian Research Council, ARC; Flinders University","The authors wish to acknowledge the Australian Research Council for providing funding through the Deep History of Sea Country project (Discovery Project DP170100812). We also thank Flinders University and the Moesgaard Museum for providing additional support, equipment, and facilities. We thank Per Borup and the local divers and amateur archaeologists who have been a part of the investigations at Hjarn? since 2009. We also thank Harry Robson for comments on a previous draft that led to improvement of this article. The DHSC team would like to dedicate this article to the late Alice Flejsborg, who facilitated many aspects of this research and whose kindness will be remembered far and wide.",,,,,,,,,,Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85067043659
"Auld D., Ireland T., Burke H.","57203434185;35322506600;37083022000;","Affective Aprons: Object Biographies from the Ladies’ Cottage, Royal Derwent Hospital New Norfolk, Tasmania",2019,"International Journal of Historical Archaeology","23","2",,"361","379",,4,"10.1007/s10761-018-0468-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051712395&doi=10.1007%2fs10761-018-0468-z&partnerID=40&md5=e30d82b5a2b5befd656cab998bc82019","Faculty of Arts and Design, University of Canberra, Canberra, ACT  2601, Australia; Archaeology, Flinders University, GPO Box 2100, Adelaide, SA  5001, Australia","Auld, D., Faculty of Arts and Design, University of Canberra, Canberra, ACT  2601, Australia; Ireland, T., Faculty of Arts and Design, University of Canberra, Canberra, ACT  2601, Australia; Burke, H., Archaeology, Flinders University, GPO Box 2100, Adelaide, SA  5001, Australia","Archaeological textiles; Empathy; Object biography; Psychiatric institutions","archaeology; biography; historic building; hospital sector; material culture; perception; womens status; Australia; Tasmania","University of Canberra, UC","We would like to thank the Derwent Valley Council for hosting us each year in New Norfolk and the many people of the New Norfolk community who shared their thoughts about, and visions for, the Royal Derwent Hospital site. We particularly thank Haydn and Penny Pearce for kindly providing access to the Ladies? Cottage collection. At the University of Canberra Alison Wain co-supervised the original thesis on which this paper is based. At Flinders University Lynley Wallis, Chantal Wight and the students of ARCH8807 helped to catalogue the original collection. Michelle Newton-Edwards provided practical conservation advice and Justin Halstead assisted with the conservation process and speculated on the enigma of the Ladies? Cottage aprons. We also thank the two anonymous reviewers for their insightful and encouraging comments.",,,,,,,,,,Article,"Final","",Scopus,2-s2.0-85051712395
"Australia S., Smith C., Ralph J., Lower K., McKinnon J., Ebbs M., Senior V.C.","57205580353;57220065262;56292371200;57205586527;14626657500;57205572465;57205584870;","A new framework for interpreting contact rock art reassessing the rock art at Nackara springs",2017,"The Oxford Handbook of the Archaeology and Anthropology of Rock Art",,,,"587","610",,3,"10.1093/oxfordhb/9780190607357.013.27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060608785&doi=10.1093%2foxfordhb%2f9780190607357.013.27&partnerID=40&md5=2a9fbf6d4bd90aff540faad95982fdac","Flinders University, Australia; East Carolina University, United States; Ngadjuri Elders Heritage and Landcare Council Inc, Australia","Australia, S.; Smith, C., Flinders University, Australia; Ralph, J., Flinders University, Australia; Lower, K., Flinders University, Australia; McKinnon, J., East Carolina University, United States; Ebbs, M., Flinders University, Australia; Senior, V.C., Ngadjuri Elders Heritage and Landcare Council Inc, Australia","Archaeological theory and method; Contact; Indigenous archaeology; Rock art; Style",,,,,,,,,,,,,Book Chapter,"Final","",Scopus,2-s2.0-85060608785
"Bailey G., Momber G., Bell M., Tizzard L., Hardy K., Bicket A., Tidbury L., Benjamin J., Hale A.","55841857200;6507791275;7401465535;16302357600;36855701300;36634099300;57211145197;26030308500;36465224300;","Great britain: the intertidal and underwater archaeology of britain’s submerged landscapes",2020,"Coastal Research Library","35",,,"189","219",,5,"10.1007/978-3-030-37367-2_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089999117&doi=10.1007%2f978-3-030-37367-2_10&partnerID=40&md5=f4605b730c4e7f3d1b2fe2f18c9128e0","Department of Archaeology, University of York, York, United Kingdom; College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, SA, Australia; Maritime Archaeology Trust, National Oceanography Centre, Southampton, United Kingdom; Department of Archaeology, School of Human and Environmental Sciences, University of Reading, Reading, United Kingdom; Wessex Archaeology, Portway House, Salisbury, Wiltshire, United Kingdom; ICREA, Barcelona, Catalonia, Spain; Departament de Prehistòria, Facultat de Filosofia i Lletres, Universitat Autònoma de Barcelona, Barcelona, Catalonia, Spain; Wessex Archaeology, Edinburgh, United Kingdom; Department of Geography, Loughborough University, Loughborough, United Kingdom; Museum of London Archaeology, Mortimer Wheeler House, London, United Kingdom; Historic Environment Scotland, John Sinclair House, Edinburgh, United Kingdom","Bailey, G., Department of Archaeology, University of York, York, United Kingdom, College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, SA, Australia; Momber, G., Department of Archaeology, University of York, York, United Kingdom, Maritime Archaeology Trust, National Oceanography Centre, Southampton, United Kingdom; Bell, M., Department of Archaeology, School of Human and Environmental Sciences, University of Reading, Reading, United Kingdom; Tizzard, L., Wessex Archaeology, Portway House, Salisbury, Wiltshire, United Kingdom; Hardy, K., Department of Archaeology, University of York, York, United Kingdom, ICREA, Barcelona, Catalonia, Spain, Departament de Prehistòria, Facultat de Filosofia i Lletres, Universitat Autònoma de Barcelona, Barcelona, Catalonia, Spain; Bicket, A., Wessex Archaeology, Edinburgh, United Kingdom, Department of Geography, Loughborough University, Loughborough, United Kingdom; Tidbury, L., Museum of London Archaeology, Mortimer Wheeler House, London, United Kingdom; Benjamin, J., College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, SA, Australia; Hale, A., Historic Environment Scotland, John Sinclair House, Edinburgh, United Kingdom","Area A240; Bouldnor Cliff; Goldcliff East; Happisburgh; Intertidal; Submerged forests",,,,,,,,,,,,,Book Chapter,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85089999117
"Barker B., Wallis L.A., Burke H., Cole N., Lowe K., Artym U., Pagels A., Bateman L., Hatte E., De Leiuen C., Davidson I., Zimmerman L.","8135956600;7006224763;37083022000;7102386561;24470895400;57214233301;57218588112;57218581994;57189961223;56811572000;7103402975;36092417300;","The archaeology of the 'Secret War': The material evidence of conflict on the Queensland frontier, 1849-1901",2020,"Queensland Archaeological Research","23",,,"25","41",,4,"10.25120/QAR.23.2020.3720","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089697159&doi=10.25120%2fQAR.23.2020.3720&partnerID=40&md5=ba84db3887ed6a378a4ae323ea135b06","School of Humanities and Communication, University of Southern Queensland, Toowoomba, QLD  4350, Australia; Griffith University Centre for Social and Cultural Research, Griffith University, Nathan, QLD  4111, Australia; Archaeology, College of Humanities, Arts and Social Sciences, Flinders University, GPO Box 2100, Adelaide, SA  5001, Australia; College of Arts, Society and Education, James Cook University, PO Box 6811, Cairns, QLD  4870, Australia; School of Social Science, University of Queensland, Brisbane, QLD  4072, Australia; Northern Archaeology Consultancies, 88 Mcilwraith Street, South Townsville, QLD  4810, Australia; School of Humanities, Arts, and Social Sciences, University of New England, Armidale, NSW  2351, Australia; Department of Anthropology, Indiana University-Purdue University Indianapolis, 425 University Boulevard, Indianapolis, IN  46202-5140, United States","Barker, B., School of Humanities and Communication, University of Southern Queensland, Toowoomba, QLD  4350, Australia; Wallis, L.A., Griffith University Centre for Social and Cultural Research, Griffith University, Nathan, QLD  4111, Australia; Burke, H., Archaeology, College of Humanities, Arts and Social Sciences, Flinders University, GPO Box 2100, Adelaide, SA  5001, Australia; Cole, N., College of Arts, Society and Education, James Cook University, PO Box 6811, Cairns, QLD  4870, Australia; Lowe, K., School of Social Science, University of Queensland, Brisbane, QLD  4072, Australia; Artym, U., Archaeology, College of Humanities, Arts and Social Sciences, Flinders University, GPO Box 2100, Adelaide, SA  5001, Australia; Pagels, A., Archaeology, College of Humanities, Arts and Social Sciences, Flinders University, GPO Box 2100, Adelaide, SA  5001, Australia; Bateman, L., School of Humanities and Communication, University of Southern Queensland, Toowoomba, QLD  4350, Australia; Hatte, E., Northern Archaeology Consultancies, 88 Mcilwraith Street, South Townsville, QLD  4810, Australia; De Leiuen, C., Archaeology, College of Humanities, Arts and Social Sciences, Flinders University, GPO Box 2100, Adelaide, SA  5001, Australia; Davidson, I., School of Humanities, Arts, and Social Sciences, University of New England, Armidale, NSW  2351, Australia; Zimmerman, L., Department of Anthropology, Indiana University-Purdue University Indianapolis, 425 University Boulevard, Indianapolis, IN  46202-5140, United States",,,"WITK17361716; Australian Government; Australian Research Council, ARC: DP160100307","This research was funded by the Australian Government through the Australian Research Council (DP160100307). Archaeological research at Lower Laura (Boralga) was conducted with the permission of Rinyirru Aboriginal Corporation and the Queensland Department of Environment Protection (Permit WITK17361716). Without naming them all, we would like to thank the many (many) people who have helped us to date on this project, including landowners, station managers, Traditional Owners, descendants of troopers and officers, Aboriginal rangers, researchers, historians, anthropologists, archaeologists and volunteers.","This research was funded by the Australian Government through the Australian Research Council (DP160100307). Archaeological research at Lower Laura (Boralga) was conducted with the permission of Rinyirru Aboriginal Corporation and the Queensland Department of Environment Protection (Permit WITK17361716). Without naming them all, we would like to thank the many (many) people who have helped us to date on this project, including landowners, station managers, Traditional Owners, descendants of troopers and officers, Aboriginal rangers, researchers, historians, anthropologists, archaeologists and volunteers.",,,,,,,,,Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85089697159
"Benjamin J., O’Leary M., McDonald J., Wiseman C., McCarthy J., Beckett E., Morrison P., Stankiewicz F., Leach J., Hacker J., Baggaley P., Jerbić K., Fowler M., Fairweather J., Jeffries P., Ulm S., Bailey G.","26030308500;57211405420;25925151400;57212474343;56015771300;57208582015;57217668461;57209246232;57217668190;7102653983;41361027700;57217668575;55673690900;57217670807;57217671040;17344329100;55841857200;","Aboriginal artefacts on the continental shelf reveal ancient drowned cultural landscapes in northwest Australia",2020,"PLoS ONE","15","7 July","e0233912","","",,16,"10.1371/journal.pone.0233912","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087473782&doi=10.1371%2fjournal.pone.0233912&partnerID=40&md5=f637db902b0d5ad44d4e3f195b41a99e","College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia; ARC Centre of Excellence for Australian Biodiversity and Heritage, James Cook University, Cairns, Australia; School of Earth Sciences, University of Western Australia, Perth, Australia; Centre for Rock Art Research + Management, University of Western Australia, Perth, Australia; ARA—Airborne Research Australia, Salisbury South, Australia; Wessex Archaeology, Portway House, Old Sarum Park, Salisbury, United Kingdom; Archaeology, School of Humanities, University of Southampton, University Road, Southampton, United Kingdom; Murujuga Aboriginal Corporation, Karratha, Australia; College of Arts, Society and Education, James Cook University, Cairns, Australia; Department of Archaeology, University of York, King’s Manor, York, United Kingdom","Benjamin, J., College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia, ARC Centre of Excellence for Australian Biodiversity and Heritage, James Cook University, Cairns, Australia; O’Leary, M., School of Earth Sciences, University of Western Australia, Perth, Australia; McDonald, J., Centre for Rock Art Research + Management, University of Western Australia, Perth, Australia; Wiseman, C., College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia; McCarthy, J., College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia; Beckett, E., Centre for Rock Art Research + Management, University of Western Australia, Perth, Australia; Morrison, P., Centre for Rock Art Research + Management, University of Western Australia, Perth, Australia; Stankiewicz, F., College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia; Leach, J., College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia; Hacker, J., College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia, ARA—Airborne Research Australia, Salisbury South, Australia; Baggaley, P., College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia, Wessex Archaeology, Portway House, Old Sarum Park, Salisbury, United Kingdom; Jerbić, K., College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia; Fowler, M., College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia, Archaeology, School of Humanities, University of Southampton, University Road, Southampton, United Kingdom; Fairweather, J., Centre for Rock Art Research + Management, University of Western Australia, Perth, Australia; Jeffries, P., Murujuga Aboriginal Corporation, Karratha, Australia; Ulm, S., ARC Centre of Excellence for Australian Biodiversity and Heritage, James Cook University, Cairns, Australia, College of Arts, Society and Education, James Cook University, Cairns, Australia; Bailey, G., College of Humanities, Arts and Social Sciences, Flinders University, Adelaide, Australia, Department of Archaeology, University of York, King’s Manor, York, United Kingdom",,"fresh water; Antiquity; archeology; Article; artifact; Australia; Australian Aborigine; Cape Bruguieres; climate; comparative study; continental shelf; controlled study; cultural factor; diver; Flying Foam Passage; geographic and geological phenomena; geographic mapping; geographic names; geomorphology; human activities; hurricane; landscape; prediction; radiometry; remote sensing; sea level rise; seashore; taphonomy; underwater archaeological site; fossil; history; human; Oceanic ancestry group; paleontology; procedures; sea; sediment; technology; Western Australia; Archaeology; Australia; Fossils; Geologic Sediments; History, Ancient; Humans; Oceanic Ancestry Group; Oceans and Seas; Paleontology; Sea Level Rise; Technology; Western Australia",,,,,,,,,,,,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85087473782
"Benjamin J., McCarthy J., Wiseman C., Bevin S., Kowlessar J., Astrup P.M., Naumann J., Hacker J.","26030308500;56015771300;57212474343;57212466113;57192368025;57204757167;57192364660;7102653983;","Integrating Aerial and Underwater Data for Archaeology: Digital Maritime Landscapes in 3D",2019,"Coastal Research Library","31",,,"211","231",,7,"10.1007/978-3-030-03635-5_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066998227&doi=10.1007%2f978-3-030-03635-5_14&partnerID=40&md5=794e8c61736931620439129b89c6dae4","Flinders University, Adelaide, SA, Australia; Moesgaard Museum, Aarhus, Denmark; Airborne Research Australia (ARA), Parafield, SA, Australia","Benjamin, J., Flinders University, Adelaide, SA, Australia; McCarthy, J., Flinders University, Adelaide, SA, Australia; Wiseman, C., Flinders University, Adelaide, SA, Australia; Bevin, S., Flinders University, Adelaide, SA, Australia; Kowlessar, J., Flinders University, Adelaide, SA, Australia; Astrup, P.M., Moesgaard Museum, Aarhus, Denmark; Naumann, J., Flinders University, Adelaide, SA, Australia; Hacker, J., Flinders University, Adelaide, SA, Australia, Airborne Research Australia (ARA), Parafield, SA, Australia","Aerial archaeology; Archaeological theory; Digital archaeology; Maritime cultural landscapes; Underwater archaeology",,"DP170100812; Australian Research Council, ARC; Flinders University","Acknowledgements The authors acknowledge the support of Historic Environment Scotland, Heritage Victoria, Wessex Archaeology, Flinders University (who provided an EHL Establishment Grant), Airborne Research Australia and the Australian Research Council through the Funding of the Deep History of Sea Country project (DP170100812). We thank two anonymous peer reviewers for their comments on an earlier draft which significantly contributed to improving this chapter.",,,,,,,,,,Book Chapter,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85066998227
"Benjamin J., Mackintosh R.","26030308500;57211602571;","Regulating Scientific Diving and Underwater Archaeology: Legal and historical considerations",2016,"International Journal of Nautical Archaeology","45","1",,"153","169",,4,"10.1111/1095-9270.12141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958107270&doi=10.1111%2f1095-9270.12141&partnerID=40&md5=eb7695da36d1cc52060cb9ae1dbdde01","Maritime Archaeology Program, Flinders UniversitySA, Australia; Centre for Maritime Archaeology, University of Southampton, United Kingdom","Benjamin, J., Maritime Archaeology Program, Flinders UniversitySA, Australia; Mackintosh, R., Centre for Maritime Archaeology, University of Southampton, United Kingdom","Archaeological diving; Australia; Europe; Legislation; Occupational health and safety; United States",,,,,,,,,,,,,Article,"Final","",Scopus,2-s2.0-84958107270
